,Author Name,Min CoAuthors,max CoAuthors,Average no of CoAuthors,Median CoAuthors
145,a. d. kulkarni,2,2,2.0,2.0
146,a. d. kwok,2,2,2.0,2.0
147,a. d. mcaulay,2,2,2.0,2.0
148,a. d. pengelly,3,3,3.0,3.0
149,a. d. sever,5,5,5.0,5.0
150,a. d. zapranis,3,3,3.0,3.0
151,a. danckaert,3,4,3.5,3.5
152,a. daniel kowalski,3,3,3.0,3.0
153,a. danilchenco,3,3,3.0,3.0
154,a. david adams,3,8,5.5,5.5
155,a. david marshall,3,3,3.0,3.0
156,a. david redish,3,3,3.0,3.0
157,a. de oliveira,4,4,4.0,4.0
158,a. de saint vincent,4,4,4.0,4.0
159,a. deb,2,2,2.0,2.0
160,a. dede,5,5,5.0,5.0
161,a. defontaine,3,3,3.0,3.0
162,a. del río,2,2,2.0,2.0
163,a. delaruelle,5,5,5.0,5.0
164,a. deliu,3,3,3.0,3.0
165,a. dell'acqua,40,40,40.0,40.0
166,a. della torre,3,3,3.0,3.0
167,a. deloff,5,5,5.0,5.0
168,a. dennis nelson,3,3,3.0,3.0
169,a. derder,2,2,2.0,2.0
170,a. desai narasimhalu,2,5,3.5,3.5
171,a. descloux,1,1,1.0,1.0
172,a. dhaouadi,3,3,3.0,3.0
173,a. di stefano,3,3,3.0,3.0
174,a. dirksen,7,7,7.0,7.0
175,a. divin,2,2,2.0,2.0
176,a. domenici,1,1,1.0,1.0
177,a. donald goedeke,5,5,5.0,5.0
178,a. dooms-goossens,4,4,4.0,4.0
179,a. dorling,1,1,1.0,1.0
180,a. dougan,7,7,7.0,7.0
181,a. duksu oh,2,3,2.5,2.5
182,a. dutt,2,2,2.0,2.0
183,a. dékány,3,3,3.0,3.0
184,a. dür,2,2,2.0,2.0
185,a. e. batsis,2,2,2.0,2.0
186,a. e. cawkell,1,1,1.0,1.0
187,a. e. fateev,3,3,3.0,3.0
188,a. e. fincham,5,5,5.0,5.0
189,a. e. grace,2,2,2.0,2.0
190,a. e. hatzimanikatis,2,2,2.0,2.0
191,a. e. lang,3,3,3.0,3.0
192,a. e. robinson,2,2,2.0,2.0
193,a. ebert,2,2,2.0,2.0
194,a. eisen,5,5,5.0,5.0
195,a. el kahloun,7,7,7.0,7.0
196,a. el-wardaney,4,4,4.0,4.0
197,a. elleuch,9,9,9.0,9.0
198,a. enis çetin,1,3,2.0,2.0
199,a. eppinger,1,1,1.0,1.0
200,a. etemadi,5,5,5.0,5.0
201,a. etienne,4,4,4.0,4.0
202,a. expert-bezancon,3,3,3.0,3.0
203,a. f. bakker,3,3,3.0,3.0
204,a. f. bragazin,4,4,4.0,4.0
205,a. f. gazdar,10,10,10.0,10.0
206,a. f. grundy,2,2,2.0,2.0
207,a. f. quesada,7,7,7.0,7.0
208,a. f. rocha,3,3,3.0,3.0
209,a. f. sidorenko,1,4,2.0,1.0
210,a. f. tasch jr.,3,4,3.5,3.5
211,a. f. westdorp,5,5,5.0,5.0
212,a. fahim,3,3,3.0,3.0
213,a. falaschi,4,4,4.0,4.0
214,a. famili,2,2,2.0,2.0
215,a. fattah,4,4,4.0,4.0
216,a. favre,3,3,3.0,3.0
217,a. fawcett-jones,3,3,3.0,3.0
218,a. federico,2,2,2.0,2.0
219,a. ferrari,4,4,4.0,4.0
220,a. fichera,4,4,4.0,4.0
221,a. filipovic,5,5,5.0,5.0
222,a. fournier,3,3,3.0,3.0
223,a. foyle,5,6,5.5,5.5
224,a. franco,5,5,5.0,5.0
225,a. frank van der stappen,3,3,3.0,3.0
226,a. frotschnig,3,3,3.0,3.0
227,a. fukuda,2,2,2.0,2.0
228,a. fyfe,3,3,3.0,3.0
229,a. g. bale,3,3,3.0,3.0
230,a. g. bondarenko,1,1,1.0,1.0
231,a. g. constantinides,2,2,2.0,2.0
232,a. g. fenton,2,2,2.0,2.0
233,a. g. garcía,3,3,3.0,3.0
234,a. g. heibig,1,1,1.0,1.0
235,a. g. j. holt,3,3,3.0,3.0
236,a. g. jones,2,2,2.0,2.0
237,a. g. malama,3,4,3.5,3.5
238,a. g. neville,8,8,8.0,8.0
239,a. g. robinson,2,2,2.0,2.0
240,a. g. seethalakshmy,3,3,3.0,3.0
241,a. g. willis,3,3,3.0,3.0
242,a. g. wright,2,2,2.0,2.0
243,a. gaber mohamed,4,4,4.0,4.0
244,a. garassino,6,6,6.0,6.0
245,a. garcía-lopera,4,4,4.0,4.0
246,a. gauthier,16,16,16.0,16.0
247,a. gerry robertson,7,7,7.0,7.0
248,a. ghazavi,4,4,4.0,4.0
249,a. gillespie,1,1,1.0,1.0
250,a. giordano,3,3,3.0,3.0
251,a. gohlke,4,4,4.0,4.0
252,a. goker,2,2,2.0,2.0
253,a. goralciková,3,3,3.0,3.0
254,a. gordon,5,5,5.0,5.0
255,a. gottwald,3,3,3.0,3.0
256,a. graessmann,4,4,4.0,4.0
257,a. gray,2,2,2.0,2.0
258,a. gupta,2,3,2.5,2.5
259,a. guénoche,1,1,1.0,1.0
260,a. görbell,7,7,7.0,7.0
261,a. h. bauer,2,2,2.0,2.0
262,a. h. falkner,3,3,3.0,3.0
263,a. h. francis,1,1,1.0,1.0
264,a. h. g. rinnooy kan,2,8,4.25,3.5
265,a. h. kamalati,3,3,3.0,3.0
266,a. h. m. saleh,2,2,2.0,2.0
267,a. h. m. thiers,4,4,4.0,4.0
268,a. h. mkhitarian,1,1,1.0,1.0
269,a. h. tan,4,4,4.0,4.0
270,a. h. ullings,3,5,4.0,4.0
271,a. hakata,3,3,3.0,3.0
272,a. hamel,4,4,4.0,4.0
273,a. harry klopf,2,3,2.5,2.5
274,a. hasman,4,4,4.0,4.0
275,a. hatzimanikatis,3,3,3.0,3.0
276,a. hauptvogel,4,4,4.0,4.0
277,a. hayes,3,3,3.0,3.0
278,a. hekstra,3,3,3.0,3.0
279,a. hernández creus,6,6,6.0,6.0
280,a. hertz,1,1,1.0,1.0
281,a. hess,3,3,3.0,3.0
282,a. higginson,1,1,1.0,1.0
283,a. hirose,4,4,4.0,4.0
284,a. hopper,5,5,5.0,5.0
285,a. horn,2,2,2.0,2.0
286,a. howard,1,1,1.0,1.0
287,a. humen,5,5,5.0,5.0
288,a. i. brodovitch,3,3,3.0,3.0
289,a. i. petrov,3,3,3.0,3.0
290,a. i. tyatushkin,3,3,3.0,3.0
291,a. i. zholudev,3,3,3.0,3.0
292,a. irgens-defregger,2,3,2.5,2.5
293,a. ivanov,2,2,2.0,2.0
294,a. j. al-khalili,4,4,4.0,4.0
295,a. j. anderson,1,2,1.5,1.5
296,a. j. arvia,6,6,6.0,6.0
297,a. j. baker,1,1,1.0,1.0
298,a. j. bladek,1,1,1.0,1.0
299,a. j. cole,1,1,1.0,1.0
300,a. j. field,2,6,4.0,4.0
301,a. j. fisher,1,1,1.0,1.0
302,a. j. goldman,2,2,2.0,2.0
303,a. j. han vinck,2,2,2.0,2.0
304,a. j. hewett,3,3,3.0,3.0
305,a. j. j. dick,1,2,1.5,1.5
306,a. j. j. talman,2,4,2.6666667,2.0
307,a. j. kfoury,3,3,3.0,3.0
308,a. j. lawson,3,3,3.0,3.0
309,a. j. leite,2,2,2.0,2.0
310,a. j. meadows,2,2,2.0,2.0
311,a. j. radcliffe,3,3,3.0,3.0
312,a. j. roycroft,1,1,1.0,1.0
313,a. j. rye,8,8,8.0,8.0
314,a. j. rérolle,2,2,2.0,2.0
315,a. j. s. wilson,3,3,3.0,3.0
316,a. j. titterington,3,3,3.0,3.0
317,a. j. van de goor,1,3,2.2,2.0
318,a. j. van der hoeven,4,4,4.0,4.0
319,a. j. van der wal,2,2,2.0,2.0
320,a. j. van zanten,1,1,1.0,1.0
321,a. j. vayda,2,2,2.0,2.0
322,a. j. w. duijvestijn,1,3,2.0,2.0
323,a. j. w. m. ten berg,3,3,3.0,3.0
324,a. j. weisenborn,2,2,2.0,2.0
325,a. jakobs,2,2,2.0,2.0
326,a. jakoby,1,1,1.0,1.0
327,a. james stewart,2,2,2.0,2.0
328,a. jamie cuticchia,3,5,3.6666667,3.0
329,a. janner,4,4,4.0,4.0
330,a. jay legendre,5,5,5.0,5.0
331,a. jay palmer,1,8,4.5,4.5
332,a. jefferson offutt,1,3,2.1111112000000003,2.0
333,a. jeffree,2,2,2.0,2.0
334,a. joe turner,5,5,5.0,5.0
335,a. johannes ten hoopen,3,3,3.0,3.0
336,a. johansson,3,3,3.0,3.0
337,a. john hurst,1,1,1.0,1.0
338,a. john van schouwen,3,3,3.0,3.0
339,a. johnson,2,2,2.0,2.0
340,a. johnstone,5,5,5.0,5.0
341,a. joseph antos,3,3,3.0,3.0
342,a. joubert,1,1,1.0,1.0
343,a. jávor,2,2,2.0,2.0
344,a. k. agarwal,1,1,1.0,1.0
345,a. k. bandyopadhyay,4,4,4.0,4.0
346,a. k. betts,5,5,5.0,5.0
347,a. k. boyle,3,3,3.0,3.0
348,a. k. bregt,4,4,4.0,4.0
349,a. k. datta,1,4,2.6666667,3.0
350,a. k. david,5,6,5.5,5.5
351,a. k. dewdney,3,3,3.0,3.0
352,a. k. ghose,5,5,5.0,5.0
353,a. k. hudson,2,2,2.0,2.0
354,a. k. jain,4,4,4.0,4.0
355,a. k. jordan,2,2,2.0,2.0
356,a. k. kharwat,1,1,1.0,1.0
357,a. k. kok,4,4,4.0,4.0
358,a. k. koukos,2,2,2.0,2.0
359,a. k. lu,3,3,3.0,3.0
360,a. k. marjanski,2,2,2.0,2.0
361,a. k. ray,2,3,2.6666667,3.0
362,a. k. rigler,3,3,3.0,3.0
363,a. k. sanwalka,4,4,4.0,4.0
364,a. k. sharma,3,3,3.0,3.0
365,a. k. singh,1,5,3.0,3.0
366,a. k. sood,1,1,1.0,1.0
367,a. k. stagg,2,2,2.0,2.0
368,a. k. zvonkin,2,2,2.0,2.0
369,a. kainz,6,6,6.0,6.0
370,a. kallis,2,2,2.0,2.0
371,a. kapitanovsky,2,2,2.0,2.0
372,a. kasi viswanathan,3,3,3.0,3.0
373,a. kassam,2,2,2.0,2.0
374,a. kelly,5,5,5.0,5.0
375,a. kerek,1,40,20.5,20.5
376,a. keune,3,3,3.0,3.0
377,a. khaleque,1,1,1.0,1.0
378,a. kisling,3,3,3.0,3.0
379,a. klages,14,14,14.0,14.0
380,a. klein,3,3,3.0,3.0
381,a. knight,4,4,4.0,4.0
382,a. knoll,1,1,1.0,1.0
383,a. knowles,3,3,3.0,3.0
384,a. kokkos,3,3,3.0,3.0
385,a. krasnitz,8,11,9.5,9.5
386,a. kreuzer,2,2,2.0,2.0
387,a. kuchlous,3,3,3.0,3.0
388,a. kuehlmann,2,2,2.0,2.0
389,a. kulenovic,2,2,2.0,2.0
390,a. l. (roy) jones,1,1,1.0,1.0
391,a. l. beyer,4,4,4.0,4.0
392,a. l. kulenovic,2,2,2.0,2.0
393,a. l. narasimha reddy,2,3,2.4,2.0
394,a. laine,4,4,4.0,4.0
395,a. lam,9,9,9.0,9.0
396,a. lampen,1,1,1.0,1.0
397,a. laporte,3,3,3.0,3.0
398,a. laudenbach,3,3,3.0,3.0
399,a. laurence gray,2,2,2.0,2.0
400,a. lawrence spitz,2,2,2.0,2.0
401,a. lazkowski,4,4,4.0,4.0
402,a. lee,3,3,3.0,3.0
403,a. lee swindlehurst,2,2,2.0,2.0
404,a. lester buck,2,2,2.0,2.0
405,a. lewis bastian,2,2,2.0,2.0
406,a. liakopoulos,3,3,3.0,3.0
407,a. liavas,2,2,2.0,2.0
408,a. liberatore,4,4,4.0,4.0
409,a. limongiello,5,5,5.0,5.0
410,a. limperis,2,2,2.0,2.0
411,a. liu,3,5,4.0,4.0
412,a. lock,4,4,4.0,4.0
413,a. lucia,3,3,3.0,3.0
414,a. lumsdaine,3,3,3.0,3.0
415,a. luttke,2,2,2.0,2.0
416,a. luís osório,2,3,2.6666667,3.0
