,Author Name,Min CoAuthors,max CoAuthors,Average no of CoAuthors,Median CoAuthors
9798,chris barry,6,6,6.0,6.0
9799,chris bishop,1,1,1.0,1.0
9800,chris blondia,2,5,3.3333333,3.0
9801,chris brew,1,1,1.0,1.0
9802,chris brink,2,3,2.5,2.5
9803,chris brown,3,3,3.0,3.0
9804,chris buckley,1,4,2.5714285,3.0
9805,chris c. de vreeze,2,2,2.0,2.0
9806,chris caerts,3,3,3.0,3.0
9807,chris carey-smith,3,3,3.0,3.0
9808,chris chafe,1,3,2.0,2.0
9809,chris christodoulou,4,4,4.0,4.0
9810,chris chu,4,4,4.0,4.0
9811,chris clifton,2,9,3.75,2.0
9812,chris coelho,6,6,6.0,6.0
9813,chris condon,2,2,2.0,2.0
9814,chris cosner,2,2,2.0,2.0
9815,chris d. clack,2,2,2.0,2.0
9816,chris d. marlin,2,2,2.0,2.0
9817,chris d. paice,1,2,1.5,1.5
9818,chris digiano,3,3,3.0,3.0
9819,chris dollin,1,1,1.0,1.0
9820,chris drummond,3,3,3.0,3.0
9821,chris edwards,2,2,2.0,2.0
9822,chris f. kemerer,1,4,2.1666667,2.0
9823,chris f. woodcock,2,2,2.0,2.0
9824,chris faigle,3,6,4.6666665,5.0
9825,chris fennessy,1,1,1.0,1.0
9826,chris ferguson,3,3,3.0,3.0
9827,chris fernandes,3,3,3.0,3.0
9828,chris firth,2,2,2.0,2.0
9829,chris fothergill,2,2,2.0,2.0
9830,chris fox,5,7,6.0,6.0
9831,chris george,1,2,1.5,1.5
9832,chris goad,1,1,1.0,1.0
9833,chris graham,4,4,4.0,4.0
9834,chris h. perleberg,2,2,2.0,2.0
9835,chris h. tong,3,3,3.0,3.0
9836,chris hallgren,1,1,1.0,1.0
9837,chris halliwell,1,1,1.0,1.0
9838,chris hankin,1,3,2.0,2.0
9839,chris heegard,2,3,2.75,3.0
9840,chris hendrickson,3,3,3.0,3.0
9841,chris ho-stuart,3,3,3.0,3.0
9842,chris holt,4,4,4.0,4.0
9843,chris horn,2,7,4.25,4.0
9844,chris horner,3,3,3.0,3.0
9845,chris i. phillips,2,2,2.0,2.0
9846,chris j. alberts,3,3,3.0,3.0
9847,chris j. budd,3,3,3.0,3.0
9848,chris j. carlisle,3,3,3.0,3.0
9849,chris j. cunningham,4,4,4.0,4.0
9850,chris j. harris,3,3,3.0,3.0
9851,chris j. hinde,5,5,5.0,5.0
9852,chris j. j. gittings,3,3,3.0,3.0
9853,chris j. johannsen,3,3,3.0,3.0
9854,chris j. mitchell,2,2,2.0,2.0
9855,chris j. myers,2,2,2.0,2.0
9856,chris j. newburn,3,3,3.0,3.0
9857,chris j. scheiman,2,2,2.0,2.0
9858,chris j. thornton,1,1,1.0,1.0
9859,chris jay,1,1,1.0,1.0
9860,chris jones,1,1,1.0,1.0
9861,chris k. cowley,2,2,2.0,2.0
9862,chris karakas,1,1,1.0,1.0
9863,chris keen,2,2,2.0,2.0
9864,chris l. waller,2,2,2.0,2.0
9865,chris laffra,2,2,2.0,2.0
9866,chris lea,2,2,2.0,2.0
9867,chris m. brown,4,4,4.0,4.0
9868,chris m. holt,1,1,1.0,1.0
9869,chris m. jubien,2,2,2.0,2.0
9870,chris m. n. tofts,2,2,2.0,2.0
9871,chris m. pearson,2,2,2.0,2.0
9872,chris m. skinner,1,1,1.0,1.0
9873,chris m. w. ho,2,2,2.0,2.0
9874,chris maeda,2,5,3.25,3.0
9875,chris marland,3,3,3.0,3.0
9876,chris mcdonald,1,1,1.0,1.0
9877,chris mcmahon,1,1,1.0,1.0
9878,chris mellish,2,3,2.3333333,2.0
9879,chris metcalf,14,14,14.0,14.0
9880,chris moore,6,6,6.0,6.0
9881,chris moss,1,5,3.0,3.0
9882,chris n. potts,1,3,2.0,2.0
9883,chris nevison,7,7,7.0,7.0
9884,chris okwudishu,1,1,1.0,1.0
9885,chris osborne,1,1,1.0,1.0
9886,chris patmore,1,1,1.0,1.0
9887,chris peak,1,11,6.0,6.0
9888,chris phillips,2,2,2.0,2.0
9889,chris preist,5,5,5.0,5.0
9890,chris r. jesshope,1,4,2.2,2.0
9891,chris reade,1,1,1.0,1.0
9892,chris reid,1,1,1.0,1.0
9893,chris richardson,1,2,1.5,1.5
9894,chris roast,1,1,1.0,1.0
9895,chris ruemmler,2,2,2.0,2.0
9896,chris s. kellen,3,4,3.5,3.5
9897,chris s. wallace,2,2,2.0,2.0
9898,chris saltmarsh,2,2,2.0,2.0
9899,chris sander,1,2,1.5,1.5
9900,chris sauer,1,1,1.0,1.0
9901,chris scallan,2,3,2.5,2.5
9902,chris schmandt,1,5,3.25,3.5
9903,chris schoeneman,5,5,5.0,5.0
9904,chris scott,15,15,15.0,15.0
9905,chris sheedy,1,1,1.0,1.0
9906,chris tomlinson,4,4,4.0,4.0
9907,chris tonas,5,5,5.0,5.0
9908,chris tong,1,6,3.0,2.0
9909,chris torek,2,2,2.0,2.0
9910,chris toulson,6,7,6.5,6.5
9911,chris toumazou,2,3,2.2,2.0
9912,chris tuijn,3,3,3.0,3.0
9913,chris uhler,3,3,3.0,3.0
9914,chris verhoef,2,2,2.0,2.0
9915,chris w. clegg,1,1,1.0,1.0
9916,chris w. johnson 0002,2,2,2.0,2.0
9917,chris w. loftus,3,3,3.0,3.0
9918,chris waddell,1,1,1.0,1.0
9919,chris walmsley,5,5,5.0,5.0
9920,chris walshaw,2,2,2.0,2.0
9921,chris warack,4,4,4.0,4.0
9922,chris warren,2,2,2.0,2.0
9923,chris weider,2,2,2.0,2.0
9924,chris weikart,3,3,3.0,3.0
9925,chris weilman,5,5,5.0,5.0
9926,chris whitney,34,34,34.0,34.0
9927,chris wild,3,3,3.0,3.0
9928,chrisanthi avgerou,1,2,1.6666666,2.0
9929,chriss stephens,5,5,5.0,5.0
9930,christa kopf,2,3,2.5,2.5
9931,christa womser-hacker,1,3,2.25,2.5
9932,christel baier,2,2,2.0,2.0
9933,christel brou,8,8,8.0,8.0
9934,christel calas,2,2,2.0,2.0
9935,christel kemke,1,1,1.0,1.0
9936,christel müller,2,2,2.0,2.0
9937,christel seguin,3,3,3.0,3.0
9938,christel sorin,1,9,4.0,3.0
9939,christelle leri,4,4,4.0,4.0
9940,christer bäckström,2,2,2.0,2.0
9941,christer carlsson,2,4,2.5,2.0
9942,christer eriksson,4,4,4.0,4.0
9943,christer fernström,1,1,1.0,1.0
9944,christer jansson,2,2,2.0,2.0
9945,christer mattsson,2,4,3.0,3.0
9946,christer samuelsson,1,12,6.0,3.0
9947,christer svensson,2,40,12.0,3.0
9948,christi-anne castro,1,1,1.0,1.0
9949,christiaan heij,1,1,1.0,1.0
9950,christiaan j. j. paredis,2,2,2.0,2.0
9951,christiaan thieme,2,2,2.0,2.0
9952,christian a. g. tonnelier,8,8,8.0,8.0
9953,christian a. wieland,1,1,1.0,1.0
9954,christian abry,2,3,2.5,2.5
9955,christian andres,2,2,2.0,2.0
9956,christian antoine,3,3,3.0,3.0
9957,christian b. suttner,3,3,3.0,3.0
9958,christian bac,2,2,2.0,2.0
9959,christian balkenius,2,2,2.0,2.0
9960,christian bard,3,3,3.0,3.0
9961,christian barillot,4,4,4.0,4.0
9962,christian benoît,3,4,3.5,3.5
9963,christian berger-vachon,4,4,4.0,4.0
9964,christian bessière,1,3,2.0,2.0
9965,christian blume,2,2,2.0,2.0
9966,christian bouville,4,4,4.0,4.0
9967,christian boß,2,2,2.0,2.0
9968,christian brechbühler,4,5,4.6666665,5.0
9969,christian breiteneder,2,5,3.5,3.5
9970,christian burks,3,3,3.0,3.0
9971,christian béounes,4,4,4.0,4.0
9972,christian bühler,3,3,3.0,3.0
9973,christian cachard,3,3,3.0,3.0
9974,christian cachin,2,2,2.0,2.0
9975,christian choffrut,1,2,1.3333334,1.0
9976,christian collet,9,9,9.0,9.0
9977,christian commault,3,4,3.25,3.0
9978,christian creveuil,1,1,1.0,1.0
9979,christian d. nielsen,2,4,3.0,3.0
9980,christian darken,2,4,3.0,3.0
9981,christian de graeve,16,16,16.0,16.0
9982,christian diedrich,1,1,1.0,1.0
9983,christian dierks,1,1,1.0,1.0
9984,christian doncarli,2,3,2.5,2.5
9985,christian donninger,1,1,1.0,1.0
9986,christian dorninger,1,1,1.0,1.0
9987,christian dufaza,3,3,3.0,3.0
9988,christian dugast,2,13,5.6666665,2.0
9989,christian e. dralle,1,1,1.0,1.0
9990,christian eckert,2,2,2.0,2.0
9991,christian elm,2,2,2.0,2.0
9992,christian engel 0001,1,1,1.0,1.0
9993,christian ewering,1,1,1.0,1.0
9994,christian f. tschudin,1,1,1.0,1.0
9995,christian fecht,4,4,4.0,4.0
9996,christian feder-andres,1,2,1.5,1.5
9997,christian ferdinand,3,4,3.5,3.5
9998,christian fluhr,3,3,3.0,3.0
9999,christian foisy,2,2,2.0,2.0
10000,christian fortunel,3,3,3.0,3.0
10001,christian freksa,2,7,4.5,4.5
10002,christian g. fermüller,1,4,2.625,3.0
10003,christian g. gerlach,1,3,1.6666666,1.0
10004,christian gagnoulet,2,4,3.0,3.0
10005,christian gautier,4,7,5.5,5.5
10006,christian geiger,3,3,3.0,3.0
10007,christian gierlinger,3,3,3.0,3.0
10008,christian giguere,2,2,2.0,2.0
10009,christian h. bischof,1,3,2.4,3.0
10010,christian hafer,5,5,5.0,5.0
10011,christian haider,1,1,1.0,1.0
10012,christian halloy,5,5,5.0,5.0
10013,christian halstrick,7,7,7.0,7.0
10014,christian hansen,2,2,2.0,2.0
10015,christian hayler,3,3,3.0,3.0
10016,christian heath,2,4,3.4285714999999994,4.0
10017,christian heckler,2,2,2.0,2.0
10018,christian heinisch,1,1,1.0,1.0
10019,christian heinlein,10,10,10.0,10.0
10020,christian heipke,3,4,3.5,3.5
10021,christian heise,2,2,2.0,2.0
10022,christian hess,1,1,1.0,1.0
10023,christian hipp,1,1,1.0,1.0
10024,christian holzbaur,2,4,2.5,2.0
10025,christian huitema,1,2,1.5,1.5
10026,christian icking,2,4,3.25,3.5
10027,christian iseli,2,3,2.5,2.5
10028,christian j. callsen,2,2,2.0,2.0
10029,christian j. van den branden lambrecht,2,2,2.0,2.0
10030,christian jacob 0001,2,2,2.0,2.0
10031,christian jacobi,5,5,5.0,5.0
10032,christian jacquemin,1,1,1.0,1.0
10033,christian jacquemot,3,3,3.0,3.0
10034,christian jacques,3,3,3.0,3.0
10035,christian jahl,1,1,1.0,1.0
10036,christian janssen,1,3,2.0,2.0
10037,christian jansson,1,2,1.3333334,1.0
10038,christian jeppesen,4,4,4.0,4.0
10039,christian jutten,2,3,2.5,2.5
10040,christian jänig,1,1,1.0,1.0
10041,christian koch,1,1,1.0,1.0
10042,christian kortenbreer,2,3,2.5,2.5
10043,christian korunka,3,3,3.0,3.0
10044,christian krattenthaler,2,2,2.0,2.0
10045,christian krieb,1,1,1.0,1.0
10046,christian körner,2,2,2.0,2.0
10047,christian laasch,2,3,2.3333333,2.0
10048,christian laforest,2,2,2.0,2.0
10049,christian lahanier,2,2,2.0,2.0
10050,christian landrault,3,4,3.5,3.5
10051,christian laugier,1,4,2.642857,3.0
10052,christian le carlier de veslud,1,1,1.0,1.0
10053,christian lehmann,3,3,3.0,3.0
10054,christian lengauer,1,3,2.0,2.0
10055,christian lenz,5,5,5.0,5.0
10056,christian lieske,1,1,1.0,1.0
10057,christian lischke,2,2,2.0,2.0
10058,christian lorenzi,3,3,3.0,3.0
10059,christian lubich,1,1,1.0,1.0
10060,christian léger,4,4,4.0,4.0
10061,christian m. haffer,2,2,2.0,2.0
10062,christian mannes,1,3,2.0,2.0
10063,christian martin,2,2,2.0,2.0
10064,christian masson,5,5,5.0,5.0
10065,christian matthiessen,4,4,4.0,4.0
10066,christian michaux,2,3,2.5,2.5
10067,christian michelot,3,3,3.0,3.0
10068,christian mittasch,2,2,2.0,2.0
10069,christian momm,1,1,1.0,1.0
10070,christian mossin,1,1,1.0,1.0
10071,christian musso,1,1,1.0,1.0
10072,christian müller,2,2,2.0,2.0
10073,christian neusius,1,1,1.0,1.0
10074,christian nottola,3,3,3.0,3.0
10075,christian nyberg,2,2,2.0,2.0
10076,christian nøhr,1,1,1.0,1.0
10077,christian okoye,3,3,3.0,3.0
10078,christian olivier,4,4,4.0,4.0
10079,christian pellegrini,4,5,4.5,4.5
10080,christian percebois,3,3,3.0,3.0
10081,christian piguet,2,2,2.0,2.0
10082,christian plaunt,2,2,2.0,2.0
10083,christian politt,1,1,1.0,1.0
10084,christian posthoff,2,6,3.25,2.5
10085,christian prehofer,2,2,2.0,2.0
10086,christian proust,2,2,2.0,2.0
10087,christian queinnec,2,2,2.0,2.0
10088,christian quist,1,1,1.0,1.0
10089,christian r. huyck,2,4,3.0,3.0
10090,christian rabetge,1,1,1.0,1.0
10091,christian radoux,1,1,1.0,1.0
10092,christian raether,1,1,1.0,1.0
10093,christian rathke,1,1,1.0,1.0
10094,christian reither,4,4,4.0,4.0
10095,christian retoré,1,1,1.0,1.0
10096,christian rich,2,4,2.75,2.5
10097,christian rocken,9,9,9.0,9.0
10098,christian rohner,1,1,1.0,1.0
10099,christian ronse,1,2,1.5,1.5
10100,christian roth,1,2,1.5,1.5
10101,christian s. jensen,2,4,3.0,3.0
10102,christian scheidler,3,3,3.0,3.0
10103,christian schiedermeier,1,1,1.0,1.0
10104,christian schilling,10,10,10.0,10.0
10105,christian schindelhauer,2,2,2.0,2.0
10106,christian schindler,1,1,1.0,1.0
10107,christian schlegel,1,3,2.0,2.0
10108,christian schulte 0001,1,2,1.5,1.5
10109,christian schulz 0008,1,1,1.0,1.0
10110,christian schwarz 0002,1,4,3.2,4.0
10111,christian sommer 0003,1,1,1.0,1.0
10112,christian soutou,1,1,1.0,1.0
10113,christian sporrer,2,3,2.5,2.5
10114,christian stary,1,3,1.8,2.0
10115,christian tahon,3,3,3.0,3.0
10116,christian thiel 0003,4,4,4.0,4.0
10117,christian trefftz,2,4,2.5,2.0
10118,christian uhrig,1,4,2.6666667,3.0
10119,christian van delft,2,2,2.0,2.0
10120,christian veith,3,4,3.5,3.5
10121,christian vetterli,1,1,1.0,1.0
10122,christian viard-gaudin,3,3,3.0,3.0
10123,christian von reventlow,1,6,4.3333335,6.0
10124,christian w. omlin,2,2,2.0,2.0
10125,christian waldvogel,4,4,4.0,4.0
10126,christian walk,1,1,1.0,1.0
10127,christian winterhalder,2,2,2.0,2.0
10128,christian wissmann,1,1,1.0,1.0
10129,christian wolff,2,3,2.5,2.5
10130,christian wolters,1,1,1.0,1.0
10131,christian zapf,3,3,3.0,3.0
10132,christian zeidler,2,2,2.0,2.0
10133,christian ziemann,2,2,2.0,2.0
10134,christian zwieb,2,2,2.0,2.0
10135,christiana morison leonard,3,3,3.0,3.0
10136,christiane antweiler,3,3,3.0,3.0
10137,christiane cocozza-thivent,2,2,2.0,2.0
10138,christiane dujet,2,2,2.0,2.0
10139,christiane floyd,1,2,1.25,1.0
10140,christiane frougny,1,2,1.5,1.5
10141,christiane funken,1,2,1.5,1.5
10142,christiane hespel,2,2,2.0,2.0
10143,christiane linster,4,5,4.5,4.5
10144,christiane löckenhoff,3,3,3.0,3.0
10145,christiane murmann,3,3,3.0,3.0
10146,christiane tammer,2,2,2.0,2.0
10147,christie l. cadwell,6,6,6.0,6.0
10148,christina helbig,1,1,1.0,1.0
10149,christina k. chan,2,2,2.0,2.0
10150,christina kirsch,1,1,1.0,1.0
10151,christina lau,1,1,1.0,1.0
10152,christina liebelt,1,1,1.0,1.0
10153,christina m. frederick,2,2,2.0,2.0
10154,christina m. mynhardt,1,2,1.5,1.5
10155,christina metaxaki-kossionides,2,4,3.0,3.0
10156,christina mooser,6,6,6.0,6.0
10157,christina soh,3,4,3.5,3.5
10158,christine a. fossett,4,4,4.0,4.0
10159,christine a. montgomery,3,9,5.2,4.0
10160,christine a. shoemaker,2,5,3.3333333,3.0
10161,christine baufays,3,4,3.5,3.5
10162,christine bellier,4,12,6.666666499999999,4.0
10163,christine bessenrodt,1,1,1.0,1.0
10164,christine beville,4,4,4.0,4.0
10165,christine bourjot,3,3,3.0,3.0
10166,christine bressenrodt,1,1,1.0,1.0
10167,christine cheepen,2,2,2.0,2.0
10168,christine chevallereau,2,3,2.3333333,2.0
10169,christine choppy,2,2,2.0,2.0
10170,christine collet,2,3,2.3333333,2.0
10171,christine d. piatko,6,6,6.0,6.0
10172,christine danner,1,2,1.5,1.5
10173,christine decaestecker,1,1,1.0,1.0
10174,christine delcourt,2,2,2.0,2.0
10175,christine demblon,2,2,2.0,2.0
10176,christine dobson rumble,1,1,1.0,1.0
10177,christine eisenbeis,2,4,3.0,3.0
10178,christine ernoult,2,2,2.0,2.0
10179,christine fidler,3,3,3.0,3.0
10180,christine fricker,3,3,3.0,3.0
10181,christine froidevaux,2,34,8.6,2.0
10182,christine garcia,2,2,2.0,2.0
10183,christine gardiol,3,3,3.0,3.0
10184,christine green,1,1,1.0,1.0
10185,christine greenhalgh,2,2,2.0,2.0
10186,christine h. nakatani,1,2,1.75,2.0
10187,christine h. shadle,4,4,4.0,4.0
10188,christine haapala,2,2,2.0,2.0
10189,christine heritier-pingeon,1,1,1.0,1.0
10190,christine hieaux,6,6,6.0,6.0
10191,christine hofmeister,2,3,2.3333333,2.0
10192,christine hubert,1,1,1.0,1.0
10193,christine huwig,8,8,8.0,8.0
10194,christine j. heap,2,2,2.0,2.0
10195,christine kamlah,1,1,1.0,1.0
10196,christine kohring,1,1,1.0,1.0
10197,christine l. braun,2,2,2.0,2.0
10198,christine l. valenzuela,2,2,2.0,2.0
10199,christine lafontaine,2,3,2.5,2.5
10200,christine lombardi,2,2,2.0,2.0
10201,christine m. gianone,1,1,1.0,1.0
10202,christine m. h. unal,3,3,3.0,3.0
10203,christine m. mitchell,4,7,5.5,5.5
10204,christine m. o'keefe,1,3,2.2,2.0
10205,christine m. pietras,4,4,4.0,4.0
10206,christine m. watson,2,2,2.0,2.0
10207,christine mary tomlinson,1,1,1.0,1.0
10208,christine meunier,1,2,1.5,1.5
10209,christine milesi-bellier,3,3,3.0,3.0
10210,christine mingins,2,4,2.6,2.0
10211,christine morin,3,6,5.0,6.0
10212,christine müller,1,1,1.0,1.0
10213,christine neuwirth,6,6,6.0,6.0
10214,christine nowak,5,5,5.0,5.0
10215,christine p. nadal,2,5,3.5,3.5
10216,christine pao,2,2,2.0,2.0
10217,christine parent,2,2,2.0,2.0
10218,christine paulin-mohring,1,2,1.6666666,2.0
10219,christine podilchuk,3,3,3.0,3.0
10220,christine rochange,3,3,3.0,3.0
10221,christine rüb,1,3,2.0,2.0
10222,christine schneider,3,3,3.0,3.0
10223,christine shu,2,2,2.0,2.0
10224,christine solnon,2,2,2.0,2.0
10225,christine steeples,2,2,2.0,2.0
10226,christine steiner,1,1,1.0,1.0
10227,christine strauss,1,1,1.0,1.0
10228,christine sweeney,3,3,3.0,3.0
10229,christine tomlinson,4,7,5.75,6.0
10230,christine tuerk,2,2,2.0,2.0
10231,christine w. chan,2,3,2.6666667,3.0
10232,christine wahmkow,1,1,1.0,1.0
10233,christine wendt,2,2,2.0,2.0
10234,christo dichev,2,2,2.0,2.0
10235,christodoulos a. floudas,2,2,2.0,2.0
10236,christof behmenburg,2,2,2.0,2.0
10237,christof blum,2,3,2.6666667,3.0
10238,christof ebert,2,2,2.0,2.0
10239,christof hasse,2,5,3.6,4.0
10240,christof koch,2,4,3.0,3.0
10241,christof krug,2,2,2.0,2.0
10242,christof nagel,1,4,2.5,2.5
10243,christof peltason,1,3,2.0,2.0
10244,christof pintaske,3,3,3.0,3.0
10245,christof ricken,2,2,2.0,2.0
10246,christof schramm,1,1,1.0,1.0
10247,christof schärer,1,1,1.0,1.0
10248,christof schütte,1,1,1.0,1.0
10249,christof störmann,3,3,3.0,3.0
10250,christof traber,1,1,1.0,1.0
10251,christof w. burckhardt,2,2,2.0,2.0
10252,christof weinhardt,1,3,2.0,2.0
10253,christoph a. nienaber,4,4,4.0,4.0
10254,christoph ammann,5,5,5.0,5.0
10255,christoph beierle,1,3,2.3,2.5
10256,christoph benz,2,2,2.0,2.0
10257,christoph beumer,1,1,1.0,1.0
10258,christoph blaue,1,1,1.0,1.0
10259,christoph bregler,2,4,3.3333333,4.0
10260,christoph brzoska,1,4,1.5,1.0
10261,christoph bunsen,1,1,1.0,1.0
10262,christoph bussler,1,2,1.5,1.5
10263,christoph c. michael,3,3,3.0,3.0
10264,christoph christoph strelen,2,2,2.0,2.0
10265,christoph crasemann,1,1,1.0,1.0
10266,christoph darxler,1,1,1.0,1.0
10267,christoph draxler,3,3,3.0,3.0
10268,christoph f. eick,1,3,2.0,2.0
10269,christoph frank,1,1,1.0,1.0
10270,christoph g. thomas,1,2,1.5,1.5
10271,christoph gerber,2,2,2.0,2.0
10272,christoph globig,2,3,2.5,2.5
10273,christoph hahn,3,3,3.0,3.0
10274,christoph handschin,1,1,1.0,1.0
10275,christoph helmberg,2,4,3.0,3.0
10276,christoph hense,2,2,2.0,2.0
10277,christoph herrmann,1,1,1.0,1.0
10278,christoph hornung,2,4,2.857143,3.0
10279,christoph hundack,3,3,3.0,3.0
10280,christoph hübel,3,6,4.25,4.0
10281,christoph hüser,2,3,2.5,2.5
10282,christoph j. gartmann,2,2,2.0,2.0
10283,christoph kilger,3,4,3.5,3.5
10284,christoph klauck,2,2,2.0,2.0
10285,christoph koopmann,1,1,1.0,1.0
10286,christoph kreitz,2,2,2.0,2.0
10287,christoph könig,1,1,1.0,1.0
10288,christoph lell,1,1,1.0,1.0
10289,christoph lindemann,1,4,1.8,1.5
10290,christoph lingenfelder,2,2,2.0,2.0
10291,christoph m. hoffmann,1,2,1.75,2.0
10292,christoph maggioni,1,1,1.0,1.0
10293,christoph maria schuster,4,4,4.0,4.0
10294,christoph meinel,2,4,2.5,2.0
10295,christoph micklisch,1,1,1.0,1.0
10296,christoph minnig,1,1,1.0,1.0
10297,christoph nöcker,1,1,1.0,1.0
10298,christoph ohsendoth-haase,1,1,1.0,1.0
10299,christoph ramshorn,2,2,2.0,2.0
10300,christoph reichenberger,1,1,1.0,1.0
10301,christoph rothe,1,1,1.0,1.0
10302,christoph ruland,1,1,1.0,1.0
10303,christoph rumpf,4,4,4.0,4.0
10304,christoph rücker,2,2,2.0,2.0
10305,christoph schaffer,2,2,2.0,2.0
10306,christoph scheurich,2,2,2.0,2.0
10307,christoph schlieder,1,1,1.0,1.0
10308,christoph schnörr,1,3,1.6666666,1.5
10309,christoph schwarz,3,3,3.0,3.0
10310,christoph schwarze,1,1,1.0,1.0
10311,christoph schärer,1,1,1.0,1.0
10312,christoph seidel,1,1,1.0,1.0
10313,christoph stiller,1,1,1.0,1.0
10314,christoph stracke,2,2,2.0,2.0
10315,christoph thiel,9,9,9.0,9.0
10316,christoph thomas,2,2,2.0,2.0
10317,christoph tietz,2,3,2.5,2.5
10318,christoph von basum,1,1,1.0,1.0
10319,christoph von der malsburg,2,7,3.5,2.5
10320,christoph vornholt,6,6,6.0,6.0
10321,christoph w. keßler,2,3,2.5,2.5
10322,christoph w. ueberhuber,2,2,2.0,2.0
10323,christoph walther,1,1,1.0,1.0
10324,christoph weidenbach,1,1,1.0,1.0
10325,christoph windheuser,2,2,2.0,2.0
10326,christoph wirth,6,6,6.0,6.0
10327,christoph woenckhaus,2,2,2.0,2.0
10328,christoph zenger 0001,3,4,3.5,3.5
10329,christoph zetzsche,2,3,2.6666667,3.0
10330,christoph zimmermann,2,2,2.0,2.0
10331,christoph zähner,2,2,2.0,2.0
10332,christoph-ulrich plapp,1,1,1.0,1.0
10333,christophe baradel,5,5,5.0,5.0
10334,christophe bastien-thiry,1,1,1.0,1.0
10335,christophe beaumont,3,3,3.0,3.0
10336,christophe bernard 0001,4,4,4.0,4.0
10337,christophe bron,6,6,6.0,6.0
10338,christophe bérenguer,4,4,4.0,4.0
10339,christophe calvin,2,2,2.0,2.0
10340,christophe carré,1,1,1.0,1.0
10341,christophe chaillou,4,4,4.0,4.0
10342,christophe chassot,4,4,4.0,4.0
10343,christophe coroyer,2,3,2.5,2.5
10344,christophe cérin,2,3,2.5,2.5
10345,christophe d'alessandro,3,3,3.0,3.0
10346,christophe de maindreville,2,3,2.3333333,2.0
10347,christophe debou,3,3,3.0,3.0
10348,christophe diot,1,2,1.5,1.5
10349,christophe dousson,3,3,3.0,3.0
10350,christophe faffalli,1,1,1.0,1.0
10351,christophe fouqueré,2,2,2.0,2.0
10352,christophe g. giraud-carrier,2,2,2.0,2.0
10353,christophe garcia,2,4,3.5,4.0
10354,christophe gauthron,1,1,1.0,1.0
10355,christophe geourjon,2,2,2.0,2.0
10356,christophe hancart,1,1,1.0,1.0
10357,christophe haro,2,2,2.0,2.0
10358,christophe kolski,2,2,2.0,2.0
10359,christophe laurent,4,4,4.0,4.0
10360,christophe lavarenne,2,2,2.0,2.0
10361,christophe lecoutre,3,3,3.0,3.0
10362,christophe lefèvre,2,2,2.0,2.0
10363,christophe lécluse,1,4,2.5,2.5
10364,christophe mathieu,1,1,1.0,1.0
10365,christophe mauras,3,3,3.0,3.0
10366,christophe mazenc,3,3,3.0,3.0
10367,christophe mignot,3,3,3.0,3.0
10368,christophe moignard,2,2,2.0,2.0
10369,christophe mouaha,1,1,1.0,1.0
10370,christophe mourot,3,3,3.0,3.0
10371,christophe proust,5,5,5.0,5.0
10372,christophe rabut,3,3,3.0,3.0
10373,christophe raffalli,1,1,1.0,1.0
10374,christophe ramstein,1,1,1.0,1.0
10375,christophe ratel,3,3,3.0,3.0
10376,christophe renaud,3,3,3.0,3.0
10377,christophe reutenauer,2,2,2.0,2.0
10378,christophe ringeissen,1,1,1.0,1.0
10379,christophe savariaux,3,3,3.0,3.0
10380,christophe schlick,3,3,3.0,3.0
10381,christophe sibertin-blanc,1,4,2.5,2.5
10382,christophe tollu,2,3,2.6666667,3.0
10383,christophe tronche,3,3,3.0,3.0
10384,christophe varnier,3,3,3.0,3.0
10385,christophe vaucher,1,2,1.5,1.5
10386,christopher (krzysztof) sikorski,3,3,3.0,3.0
10387,christopher a. feuchter,4,4,4.0,4.0
10388,christopher a. h. paul,2,2,2.0,2.0
10389,christopher a. higgins,2,3,2.5,2.5
10390,christopher a. kantarjiev,5,5,5.0,5.0
10391,christopher a. rodger,2,3,2.5,2.5
10392,christopher a. ryan,2,2,2.0,2.0
10393,christopher amley,3,3,3.0,3.0
10394,christopher b. lofgren,3,3,3.0,3.0
10395,christopher b. walton,2,3,2.5,2.5
10396,christopher b. wilson,2,2,2.0,2.0
10397,christopher baldwin,3,3,3.0,3.0
10398,christopher beattie,2,2,2.0,2.0
10399,christopher brown 0001,2,6,4.0,4.0
10400,christopher burdorf,1,2,1.4,1.0
10401,christopher byrnes,1,1,1.0,1.0
10402,christopher c. bogan,2,2,2.0,2.0
10403,christopher c. harvey,1,1,1.0,1.0
10404,christopher c. leary,1,1,1.0,1.0
10405,christopher c. owens,1,1,1.0,1.0
10406,christopher c. paige,2,2,2.0,2.0
10407,christopher c. pu,2,2,2.0,2.0
10408,christopher c. wackerman,2,2,2.0,2.0
10409,christopher colby,2,2,2.0,2.0
10410,christopher coyle,2,2,2.0,2.0
10411,christopher d. bien,3,3,3.0,3.0
10412,christopher d. lane,10,10,10.0,10.0
10413,christopher d. manning,1,1,1.0,1.0
10414,christopher d. shaw,2,4,3.0,3.0
10415,christopher d. turner,2,2,2.0,2.0
10416,christopher d. wensley,2,2,2.0,2.0
10417,christopher d. wickens,3,3,3.0,3.0
10418,christopher duff,1,2,1.5,1.5
10419,christopher e. wee,4,4,4.0,4.0
10420,christopher eoyang,7,7,7.0,7.0
10421,christopher f. barnes,2,3,2.5,2.5
10422,christopher f. chabris,1,2,1.5,1.5
10423,christopher f. codella,4,4,4.0,4.0
10424,christopher f. joerg,2,2,2.0,2.0
